id,name,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,year,rating
0066921,A Clockwork Orange,11647,5035,6238,8821,16181,33400,81909,152358,164682,166415,1971,8.3
0056172,Lawrence of Arabia,5797,1431,1753,2648,5608,12052,30284,54169,51876,61127,1962,8.3
0338013,Eternal Sunshine of the Spotless Mind,10071,4081,5355,8327,16268,38140,100069,193203,206635,190667,2004,8.3
0036775,Double Indemnity,2316,725,797,1295,2584,5647,17286,34286,28993,24545,1944,8.3
0075314,Taxi Driver,4626,2384,3452,5529,12915,32366,88655,164680,152387,127500,1976,8.3
0062622,2001: A Space Odyssey,11085,5458,6974,9141,16176,29290,59414,100602,108571,156384,1968,8.3
1187043,3 Idiots,7458,1607,1849,2209,4285,8494,22809,48357,70542,104889,2009,8.4
0045152,Singin' in the Rain,2595,928,1246,1961,4362,9832,25831,46450,41468,47910,1952,8.3
0114709,Toy Story,4597,1996,2846,4925,12754,34322,110065,231305,182149,149949,1995,8.3
0056592,To Kill a Mockingbird,3215,1037,1360,2112,5258,12644,36713,69900,63050,59650,1962,8.3
0093058,Full Metal Jacket,3151,1420,2136,3486,8568,24481,83941,183564,160329,97982,1987,8.3
0361748,Inglourious Basterds,14048,5252,6923,10293,20308,48334,136139,292841,302515,206632,2009,8.3
0040522,Bicycle Thieves,2047,756,845,1191,2685,5661,16075,30926,28842,27403,1948,8.3
0070735,The Sting,1772,665,851,1329,3222,8492,29984,63671,55953,40026,1973,8.3
0012349,The Kid,1451,426,458,694,1661,3716,12094,26142,21052,20021,1921,8.3
0435761,Toy Story 3,6773,2439,3364,5430,13053,34193,96306,172101,157576,145477,2010,8.3
0208092,Snatch,4867,2147,2815,4800,10457,28797,92890,206614,191279,137961,2000,8.3
0119217,Good Will Hunting,3849,1805,2469,4324,10152,28892,101150,227429,196223,138312,1997,8.3
2106476,The Hunt,1565,686,788,1179,2892,7860,30481,74248,65409,34514,2012,8.3
0071853,Monty Python and the Holy Grail,5818,2353,3221,4745,9685,21740,58849,110346,109403,108779,1975,8.3
0059578,For a Few Dollars More,1485,508,699,920,2504,7191,27697,65165,51061,32778,1965,8.3
0086250,Scarface,4691,2000,3215,5121,10944,28841,86865,178209,161069,141446,1983,8.3
0119488,L.A. Confidential,3185,1319,1954,3262,7912,21635,71089,149013,129384,79935,1997,8.3
0053604,The Apartment,1897,669,756,1151,2694,6483,20013,39768,32383,26990,1960,8.3
0017136,Metropolis,3181,979,1235,1760,3703,7122,17893,33270,31225,33303,1927,8.3
1832382,A Separation,3161,752,935,1384,3183,7035,22074,43653,42895,57031,2011,8.3
0042876,Rashomon,2853,891,966,1471,3086,6313,17787,31692,29811,29390,1950,8.3
0097576,Indiana Jones and the Last Crusade,3526,1579,2286,3937,10118,28523,94412,190741,149008,111207,1989,8.3
1049413,Up,4873,2180,3069,5625,13994,40507,121649,229779,205544,158515,2009,8.3
0055630,Yojimbo,2422,694,645,860,1795,3759,11940,26102,23102,18804,1961,8.3
0042192,All About Eve,1983,619,865,1192,2684,5199,14516,26455,22454,24437,1950,8.3
0372784,Batman Begins,9204,2884,3906,6836,16105,46272,164445,361432,296736,216300,2005,8.3
0053291,Some Like It Hot,2309,978,1252,1900,4474,11525,32340,57235,46770,47355,1959,8.3
0105695,Unforgiven,2862,1117,1470,2537,5827,15920,50223,99147,82232,59605,1992,8.2
0040897,The Treasure of the Sierra Madre,1793,582,708,973,2185,4967,14898,27891,22135,19339,1948,8.3
0363163,Downfall,3251,764,1039,1791,4236,11897,42819,93289,77894,51067,2004,8.2
0095016,Die Hard,3818,1691,2582,4620,11731,34563,114538,220279,162071,122616,1988,8.2
0113277,Heat,3118,1290,1958,3641,9016,24527,75525,149296,125311,100444,1995,8.2
0476735,My Father and My Son,1667,381,354,456,894,1776,5376,10311,12182,25190,2005,8.5
0081398,Raging Bull,2933,1222,1673,2738,5823,14684,42065,79004,64482,56567,1980,8.2
0044741,Ikiru,2405,509,486,723,1411,2382,6662,12939,11856,14669,1952,8.3
0057115,The Great Escape,2140,540,740,1157,3058,8679,29912,62043,48984,36406,1963,8.2
0041959,The Third Man,2094,729,1069,1521,3487,8029,20875,35570,30388,31169,1949,8.2
0118849,Children of Heaven,707,285,250,326,765,1577,5808,12230,10959,12167,1997,8.3
1255953,Incendies,1412,624,675,950,1966,4342,14548,33781,31809,20651,2010,8.2
0457430,Pan's Labyrinth,6956,2576,3714,6084,12602,30984,80260,144444,138039,115065,2006,8.2
0071315,Chinatown,2203,750,1090,2031,5021,13886,42222,74359,60287,48650,1974,8.2
5027774,Three Billboards Outside Ebbing  Missouri,1470,781,1015,1672,3631,10220,35504,78801,68801,34872,2017,8.2
0096283,My Neighbor Totoro,2580,753,886,1621,3957,10711,32571,62236,50925,51082,1988,8.2
0055031,Judgment at Nuremberg,1426,266,324,467,1186,2531,8404,17587,13999,10776,1961,8.2
0089881,Ran,2487,692,861,1196,2516,4802,12580,23533,22079,22463,1985,8.2
1305806,The Secret in Their Eyes,1426,519,658,1125,2755,7205,23473,49765,43932,30385,2009,8.2
0015864,The Gold Rush,1560,390,513,758,1928,4200,12773,25223,18129,17675,1925,8.2
0347149,Howl's Moving Castle,2611,827,1126,1843,4330,12187,37848,75710,63485,60629,2004,8.2
0050212,The Bridge on the River Kwai,1755,709,865,1375,3394,8959,29432,56233,42918,30184,1957,8.2
0047296,On the Waterfront,2077,560,772,1243,2718,6504,18860,35664,27742,24735,1954,8.2
0120735,Lock  Stock and Two Smoking Barrels,3873,1558,1792,3140,7295,20594,70977,154191,123147,83397,1998,8.2
2096673,Inside Out,3797,1423,2257,4022,10062,28125,77536,136284,123970,94759,2015,8.2
0050976,The Seventh Seal,2958,976,1124,1767,3870,7595,18979,32741,28981,34244,1957,8.2
0268978,A Beautiful Mind,3538,1687,2596,4569,11059,31740,106672,238273,191797,128478,2001,8.2
0112641,Casino,2693,1058,1545,2600,6640,18329,61370,129448,97796,67110,1995,8.2
3170832,Room,1295,540,828,1446,3838,12246,44027,93437,74270,43436,2015,8.2
0031679,Mr. Smith Goes to Washington,1801,571,755,1098,2341,5017,14435,25677,21608,19177,1939,8.2
0080678,The Elephant Man,1689,557,827,1694,3908,10100,31257,59605,45107,34390,1980,8.2
0993846,The Wolf of Wall Street,10111,4763,6439,9517,20259,50579,141471,273895,253184,182071,2013,8.2
0434409,V for Vendetta,9427,4010,5543,9180,20163,50436,131508,238739,226457,209067,2005,8.2
0083658,Blade Runner,5592,3332,4948,8351,17426,39233,86933,142279,132720,144426,1982,8.2
1291584,Warrior,2584,1153,1292,2472,6144,17789,57652,114954,101329,77755,2011,8.2
0050986,Wild Strawberries,1825,594,617,917,2052,4336,11302,21092,17025,17682,1957,8.2
0017925,The General,1707,485,619,878,1963,3676,10138,18192,13959,15011,1926,8.2
0046912,Dial M for Murder,1136,468,570,880,2211,5767,21707,48590,31574,18145,1954,8.2
0117951,Trainspotting,5280,2481,3076,5067,10826,28531,86413,175875,141193,99022,1996,8.2
